sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Death , despair and immobility set the book 's mood , and this sense of loss and deterioration is reinforced again and again : by the tadpole sinking into a watering trough , a dog shot simply because it was moving , a bug helplessly floating down an irrigation ditch , a dying grandmother .","Death/NN ,/, despair/NN and/CC immobility/NN set/VBN the/DT book/NN 's/POS mood/NN ,/, and/CC this/DT sense/NN of/IN loss/NN and/CC deterioration/NN is/VBZ reinforced/JJ again/RB and/CC again/RB :/: by/IN the/DT tadpole/NN sinking/VBG into/IN a/DT watering/NN trough/NN ,/, a/DT dog/NN shot/VBD simply/RB because/IN it/PRP was/VBD moving/VBG ,/, a/DT bug/NN helplessly/RB floating/VBG down/RP an/DT irrigation/NN ditch/NN ,/, a/DT dying/VBG grandmother/NN ./.","nsubj(reinforced-20, Death-1) conj:and(Death-1, despair-3) nsubj(reinforced-20, despair-3) cc(Death-1, and-4) conj:and(Death-1, immobility-5) nsubj(reinforced-20, immobility-5) acl(Death-1, set-6) det(book-8, the-7) nmod:poss(mood-10, book-8) case(book-8, 's-9) dobj(set-6, mood-10) cc(mood-10, and-12) det(sense-14, this-13) dobj(set-6, sense-14) conj:and(mood-10, sense-14) case(loss-16, of-15) nmod:of(sense-14, loss-16) cc(loss-16, and-17) nmod:of(sense-14, deterioration-18) conj:and(loss-16, deterioration-18) cop(reinforced-20, is-19) ccomp(shot-36, reinforced-20) advmod(reinforced-20, again-21) cc(again-21, and-22) advmod(reinforced-20, again-23) conj:and(again-21, again-23) case(tadpole-27, by-25) det(tadpole-27, the-26) nmod:by(reinforced-20, tadpole-27) acl(tadpole-27, sinking-28) case(trough-32, into-29) det(trough-32, a-30) compound(trough-32, watering-31) nmod:into(sinking-28, trough-32) det(dog-35, a-34) nsubj(shot-36, dog-35) root(ROOT-0, shot-36) advmod(shot-36, simply-37) mark(moving-41, because-38) nsubj(moving-41, it-39) aux(moving-41, was-40) advcl(shot-36, moving-41) det(bug-44, a-43) nsubj(floating-46, bug-44) advmod(floating-46, helplessly-45) parataxis(moving-41, floating-46) compound:prt(floating-46, down-47) det(ditch-50, an-48) compound(ditch-50, irrigation-49) dobj(floating-46, ditch-50) det(grandmother-54, a-52) amod(grandmother-54, dying-53) dobj(moving-41, grandmother-54)  ",dog,35,"det(dog-35, a-34) nsubj(shot-36, dog-35) ","a watering trough , a dog shot simply because it was",NN,[],shot,VBD,subject,shot,shoot,,,[],[],[],[],[],['a'],indefinite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],a,unit,singular,linked,ambiguous,['A+N'],countable,unknown
"Though eventually surpassed in importance by the highly prestigious Koitsenko ( "" Principal dogs "" ) society , the Gourd Society was clearly one of the most influential Kiowa warrior groups.","Though/IN eventually/RB surpassed/VBD in/IN importance/NN by/IN the/DT highly/RB prestigious/JJ Koitsenko/NNP -LRB-/-LRB- ''/NN Principal/NN dogs/NNS ''/'' -RRB-/-RRB- society/NN ,/, the/DT Gourd/NNP Society/NNP was/VBD clearly/RB one/CD of/IN the/DT most/RBS influential/JJ Kiowa/NNP warrior/NNP groups/NNS ./.","mark(surpassed-3, Though-1) advmod(surpassed-3, eventually-2) advcl(one-24, surpassed-3) case(importance-5, in-4) nmod:in(surpassed-3, importance-5) case(society-17, by-6) det(society-17, the-7) advmod(prestigious-9, highly-8) amod(society-17, prestigious-9) compound(society-17, Koitsenko-10) compound(dogs-14, ''-12) compound(dogs-14, Principal-13) dep(society-17, dogs-14) nmod:by(surpassed-3, society-17) det(Society-21, the-19) compound(Society-21, Gourd-20) nsubj(one-24, Society-21) cop(one-24, was-22) advmod(one-24, clearly-23) root(ROOT-0, one-24) case(groups-31, of-25) det(groups-31, the-26) advmod(influential-28, most-27) amod(groups-31, influential-28) compound(groups-31, Kiowa-29) compound(groups-31, warrior-30) nmod:of(one-24, groups-31)  ",dogs,14,"compound(dogs-14, ''-12) compound(dogs-14, Principal-13) dep(society-17, dogs-14) ","prestigious Koitsenko ( "" Principal dogs "" ) society , the",NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],['Principal'],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
His dog and horse are sometimes mentioned .,His/PRP$ dog/NN and/CC horse/NN are/VBP sometimes/RB mentioned/VBN ./.,"nmod:poss(dog-2, His-1) nsubjpass(mentioned-7, dog-2) cc(dog-2, and-3) conj:and(dog-2, horse-4) nsubjpass(mentioned-7, horse-4) auxpass(mentioned-7, are-5) advmod(mentioned-7, sometimes-6) root(ROOT-0, mentioned-7)  ",dog,2,"nmod:poss(dog-2, His-1) cc(dog-2, and-3) conj:and(dog-2, horse-4) nsubjpass(mentioned-7, dog-2) ",His dog and horse are sometimes mentioned,NN,[],mentioned,VBN,subject,mentioned,mention,,,[],[],[],[],[],[],,"[('and', 'horse')]",['and'],['horse'],[],[],[],['His'],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"Mynona elsewhere satirizes the rise of a science of race which has so perfected its biological tools that it is able to raise a generation of "" Jew-sniffing "" dogs and breed roses which smell like garlic to Jews ( which , as Mynona comments , may actually be an advantage ) .","Mynona/NNP elsewhere/RB satirizes/VBZ the/DT rise/NN of/IN a/DT science/NN of/IN race/NN which/WDT has/VBZ so/RB perfected/VBN its/PRP$ biological/JJ tools/NNS that/IN it/PRP is/VBZ able/JJ to/TO raise/VB a/DT generation/NN of/IN ''/'' Jew-sniffing/JJ ''/'' dogs/NNS and/CC breed/NN roses/NNS which/WDT smell/VBP like/IN garlic/NN to/TO Jews/NNPS -LRB-/-LRB- which/WDT ,/, as/IN Mynona/NNP comments/NNS ,/, may/MD actually/RB be/VB an/DT advantage/NN -RRB-/-RRB- ./.","nsubj(satirizes-3, Mynona-1) advmod(satirizes-3, elsewhere-2) root(ROOT-0, satirizes-3) det(rise-5, the-4) dobj(satirizes-3, rise-5) nsubj(perfected-14, rise-5) case(science-8, of-6) det(science-8, a-7) nmod:of(rise-5, science-8) case(race-10, of-9) nmod:of(science-8, race-10) ref(rise-5, which-11) aux(perfected-14, has-12) advmod(perfected-14, so-13) acl:relcl(rise-5, perfected-14) nmod:poss(tools-17, its-15) amod(tools-17, biological-16) dobj(perfected-14, tools-17) mark(able-21, that-18) nsubj(able-21, it-19) nsubj(raise-23, it-19) cop(able-21, is-20) ccomp(perfected-14, able-21) mark(raise-23, to-22) xcomp(able-21, raise-23) det(generation-25, a-24) dobj(raise-23, generation-25) case(dogs-30, of-26) amod(dogs-30, Jew-sniffing-28) nmod:of(raise-23, dogs-30) cc(dogs-30, and-31) compound(roses-33, breed-32) nmod:of(raise-23, roses-33) conj:and(dogs-30, roses-33) nsubj(smell-35, roses-33) ref(roses-33, which-34) acl:relcl(roses-33, smell-35) case(garlic-37, like-36) nmod:like(smell-35, garlic-37) case(Jews-39, to-38) nmod:to(smell-35, Jews-39) nsubj(advantage-51, which-41) case(comments-45, as-43) compound(comments-45, Mynona-44) nmod:as(advantage-51, comments-45) aux(advantage-51, may-47) advmod(advantage-51, actually-48) cop(advantage-51, be-49) det(advantage-51, an-50) parataxis(smell-35, advantage-51)  ",dogs,30,"case(dogs-30, of-26) amod(dogs-30, Jew-sniffing-28) cc(dogs-30, and-31) conj:and(dogs-30, roses-33) nmod:of(raise-23, dogs-30) ","generation of "" Jew-sniffing "" dogs and breed roses which smell",NNS,[],,,,,,,,,"[('of', 'raise')]",['of'],['raise'],[],[],,"[('and', 'roses')]",['and'],['roses'],[],[],[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"( n41 ) What the "" Jew-sniffing "" dog smells is as much the feminine as it is the Jew .",-LRB-/-LRB- n41/NNP -RRB-/-RRB- What/WP the/NNP ''/'' Jew-sniffing/NNP ''/'' dog/NN smells/NN is/VBZ as/RB much/RB the/DT feminine/NN as/IN it/PRP is/VBZ the/DT Jew/NN ./.,"dobj(feminine-15, n41-2) nsubj(Jew-20, n41-2) ref(n41-2, What-4) compound(Jew-sniffing-7, the-5) compound(smells-10, Jew-sniffing-7) compound(smells-10, dog-9) nsubj(feminine-15, smells-10) cop(feminine-15, is-11) advmod(much-13, as-12) advmod(feminine-15, much-13) det(feminine-15, the-14) acl:relcl(n41-2, feminine-15) case(it-17, as-16) nmod:as(feminine-15, it-17) cop(Jew-20, is-18) det(Jew-20, the-19) root(ROOT-0, Jew-20)  ",dog,9,"compound(smells-10, dog-9) ","What the "" Jew-sniffing "" dog smells is as much the",NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],[],,[],[],[],['smells'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,singular,[],unknown,unknown
"These stimuli included such recognizable sounds as a baby crying , a phone ringing , a car crashing , a dog barking , crowd noises , and so forth .","These/DT stimuli/NNS included/VBD such/JJ recognizable/JJ sounds/NNS as/IN a/DT baby/NN crying/VBG ,/, a/DT phone/NN ringing/VBZ ,/, a/DT car/NN crashing/NN ,/, a/DT dog/NN barking/NN ,/, crowd/NN noises/NNS ,/, and/CC so/RB forth/RB ./.","det(stimuli-2, These-1) nsubj(included-3, stimuli-2) root(ROOT-0, included-3) amod(sounds-6, such-4) amod(sounds-6, recognizable-5) dobj(included-3, sounds-6) case(baby-9, as-7) det(baby-9, a-8) nmod:as(included-3, baby-9) acl(baby-9, crying-10) det(phone-13, a-12) nsubj(ringing-14, phone-13) parataxis(crying-10, ringing-14) det(crashing-18, a-16) compound(crashing-18, car-17) dobj(crying-10, crashing-18) det(barking-22, a-20) compound(barking-22, dog-21) dobj(crying-10, barking-22) conj:and(crashing-18, barking-22) compound(noises-25, crowd-24) dobj(crying-10, noises-25) conj:and(crashing-18, noises-25) cc(crashing-18, and-27) advmod(forth-29, so-28) advmod(crashing-18, forth-29)  ",dog,21,"compound(barking-22, dog-21) ","a car crashing , a dog barking , crowd noises ,",NN,[],crying,VBG,object,,,crying,cry,[],[],[],[],[],[],,[],[],[],['barking'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"The O &M; specialist must be well versed in the specific techniques of O &M,; including use of the long cane , dog guides , and other travel systems as well as in environmental analysis and modification .","The/DT O/NNP &/CC M/NNP ;/, specialist/NN must/MD be/VB well/RB versed/VBN in/IN the/DT specific/JJ techniques/NNS of/IN O/NNP &/CC M/NNP ,/, ;/: including/VBG use/NN of/IN the/DT long/JJ cane/NN ,/, dog/NN guides/NNS ,/, and/CC other/JJ travel/NN systems/NNS as/RB well/RB as/IN in/IN environmental/JJ analysis/NN and/CC modification/NN ./.","det(O-2, The-1) nsubjpass(versed-10, O-2) cc(O-2, &-3) compound(specialist-6, M-4) conj:&(O-2, specialist-6) nsubjpass(versed-10, specialist-6) aux(versed-10, must-7) auxpass(versed-10, be-8) advmod(versed-10, well-9) root(ROOT-0, versed-10) case(techniques-14, in-11) det(techniques-14, the-12) amod(techniques-14, specific-13) nmod:in(versed-10, techniques-14) case(O-16, of-15) nmod:of(techniques-14, O-16) cc(O-16, &-17) nmod:of(techniques-14, M-18) conj:&(O-16, M-18) parataxis(versed-10, including-21) parataxis(versed-10, including-21') parataxis(versed-10, including-21'') conj:and(including-21, including-21') conj:and(including-21, including-21'') dobj(including-21, use-22) case(cane-26, of-23) det(cane-26, the-24) amod(cane-26, long-25) nmod:of(including-21, cane-26) compound(guides-29, dog-28) conj(cane-26, guides-29) cc(including-21, and-31) amod(systems-34, other-32) compound(systems-34, travel-33) conj(cane-26, systems-34) cc(including-21, as-35) mwe(as-35, well-36) mwe(as-35, as-37) case(analysis-40, in-38) amod(analysis-40, environmental-39) nmod:in(including-21', analysis-40) cc(analysis-40, and-41) nmod:in(including-21', modification-42) conj:and(analysis-40, modification-42)  ",dog,28,"compound(guides-29, dog-28) ","dog guides , and other travel systems as well as in",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['guides'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"<p> Of most particular concern here are not the state universities with law , and engineering , and medical and veterinarian schools , the schools that became the "" flagship "" state universities , those that now are often referred to as "" major research state universities , "" the ones that receive the bulk of federal research grant largesse , whose faculty produce much of the disciplinary literature , whose freshmen are principally taught by graduate students , and whose sports teams are the tails so often wagging the dogs .","<p>/NN Of/IN most/RBS particular/JJ concern/NN here/RB are/VBP not/RB the/DT state/NN universities/NNS with/IN law/NN ,/, and/CC engineering/NN ,/, and/CC medical/JJ and/CC veterinarian/JJ schools/NNS ,/, the/DT schools/NNS that/WDT became/VBD the/DT ''/'' flagship/VBG ''/'' state/NN universities/NNS ,/, those/DT that/WDT now/RB are/VBP often/RB referred/VBN to/TO as/IN ''/'' major/JJ research/NN state/NN universities/NNS ,/, ''/'' the/DT ones/NNS that/WDT receive/VBP the/DT bulk/NN of/IN federal/JJ research/NN grant/NN largesse/NN ,/, whose/WP$ faculty/NNS produce/VBP much/RB of/IN the/DT disciplinary/JJ literature/NN ,/, whose/WP$ freshmen/NNS are/VBP principally/RB taught/VBN by/IN graduate/JJ students/NNS ,/, and/CC whose/WP$ sports/NNS teams/NNS are/VBP the/DT tails/NNS so/RB often/RB wagging/VBG the/DT dogs/NNS ./.","nsubj(universities-11, <p>-1) case(concern-5, Of-2) advmod(particular-4, most-3) amod(concern-5, particular-4) nmod:of(<p>-1, concern-5) advmod(universities-11, here-6) cop(universities-11, are-7) neg(universities-11, not-8) det(universities-11, the-9) compound(universities-11, state-10) root(ROOT-0, universities-11) case(law-13, with-12) nmod:with(universities-11, law-13) cc(law-13, and-15) nmod:with(universities-11, engineering-16) conj:and(law-13, engineering-16) cc(law-13, and-18) amod(schools-22, medical-19) cc(medical-19, and-20) conj:and(medical-19, veterinarian-21) amod(schools-22, veterinarian-21) nmod:with(universities-11, schools-22) conj:and(law-13, schools-22) det(schools-25, the-24) appos(schools-22, schools-25) nsubj(became-27, that-26) dep(law-13, became-27) xcomp(became-27, the-28) acl(the-28, flagship-30) compound(universities-33, state-32) dobj(flagship-30, universities-33) appos(universities-33, those-35) nsubjpass(referred-40, those-35) nsubj(to-41, those-35) ref(those-35, that-36) advmod(referred-40, now-37) auxpass(referred-40, are-38) advmod(referred-40, often-39) acl:relcl(those-35, referred-40) xcomp(referred-40, to-41) case(universities-47, as-42) amod(universities-47, major-44) compound(universities-47, research-45) compound(universities-47, state-46) nmod:as(flagship-30, universities-47) nmod:poss(faculty-63, universities-47) det(ones-51, the-50) dep(universities-47, ones-51) nsubj(receive-53, ones-51) ref(ones-51, that-52) acl:relcl(ones-51, receive-53) det(bulk-55, the-54) dobj(receive-53, bulk-55) case(largesse-60, of-56) amod(largesse-60, federal-57) compound(largesse-60, research-58) compound(largesse-60, grant-59) nmod:of(bulk-55, largesse-60) ref(universities-47, whose-62) nsubj(produce-64, faculty-63) acl:relcl(universities-47, produce-64) dobj(produce-64, much-65) case(literature-69, of-66) det(literature-69, the-67) amod(literature-69, disciplinary-68) nmod:of(much-65, literature-69) nmod:poss(freshmen-72, literature-69) ref(literature-69, whose-71) nsubjpass(taught-75, freshmen-72) auxpass(taught-75, are-73) advmod(taught-75, principally-74) acl:relcl(literature-69, taught-75) case(students-78, by-76) amod(students-78, graduate-77) nmod:by(taught-75, students-78) cc(the-28, and-80) nmod:poss(sports-82, whose-81) dobj(tails-86, sports-82) nsubj(tails-86, teams-83) cop(tails-86, are-84) det(tails-86, the-85) xcomp(became-27, tails-86) conj:and(the-28, tails-86) advmod(often-88, so-87) advmod(wagging-89, often-88) acl(tails-86, wagging-89) det(dogs-91, the-90) dobj(wagging-89, dogs-91)  ",dogs,91,"det(dogs-91, the-90) dobj(wagging-89, dogs-91) ",tails so often wagging the dogs .,NNS,[],wagging,VBG,object,,,wagging,wag,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
"( n22 ) Implicit in this version of peaceful change was the assumption that "" the biggest and meanest dog will get the meatiest bone whatever mere mortals managing the affairs of state may think they are doing . """,-LRB-/-LRB- n22/NNP -RRB-/-RRB- Implicit/NNP in/IN this/DT version/NN of/IN peaceful/JJ change/NN was/VBD the/DT assumption/NN that/RB ''/'' the/DT biggest/JJS and/CC meanest/JJS dog/NN will/MD get/VB the/DT meatiest/JJ bone/NN whatever/WDT mere/JJ mortals/NNS managing/VBG the/DT affairs/NNS of/IN state/NN may/MD think/VB they/PRP are/VBP doing/VBG ./. ''/'',"compound(Implicit-4, n22-2) nsubj(assumption-13, Implicit-4) case(version-7, in-5) det(version-7, this-6) nmod:in(Implicit-4, version-7) case(change-10, of-8) amod(change-10, peaceful-9) nmod:of(version-7, change-10) cop(assumption-13, was-11) det(assumption-13, the-12) root(ROOT-0, assumption-13) advmod(assumption-13, that-14) det(dog-20, the-16) amod(dog-20, biggest-17) cc(biggest-17, and-18) conj:and(biggest-17, meanest-19) amod(dog-20, meanest-19) nsubj(get-22, dog-20) aux(get-22, will-21) acl:relcl(assumption-13, get-22) det(bone-25, the-23) amod(bone-25, meatiest-24) dobj(get-22, bone-25) dobj(think-35, whatever-26) amod(mortals-28, mere-27) nsubj(think-35, mortals-28) acl(mortals-28, managing-29) det(affairs-31, the-30) dobj(managing-29, affairs-31) case(state-33, of-32) nmod:of(affairs-31, state-33) aux(think-35, may-34) acl:relcl(bone-25, think-35) nsubj(doing-38, they-36) aux(doing-38, are-37) ccomp(think-35, doing-38)  ",dog,20,"det(dog-20, the-16) amod(dog-20, biggest-17) amod(dog-20, meanest-19) nsubj(get-22, dog-20) ",""" the biggest and meanest dog will get the meatiest bone",NN,[],get,VB,subject,get,get,,,[],[],[],[],[],['the'],definite article,[],[],[],[],"['biggest', 'meanest']",[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
The use of drug dogs within schools have been controversial but is encouraged by this writer .,The/DT use/NN of/IN drug/NN dogs/NNS within/IN schools/NNS have/VBP been/VBN controversial/JJ but/CC is/VBZ encouraged/VBN by/IN this/DT writer/NN ./.,"det(use-2, The-1) nsubj(controversial-10, use-2) nsubjpass(encouraged-13, use-2) case(dogs-5, of-3) compound(dogs-5, drug-4) nmod:of(use-2, dogs-5) case(schools-7, within-6) nmod:within(dogs-5, schools-7) aux(controversial-10, have-8) cop(controversial-10, been-9) root(ROOT-0, controversial-10) cc(controversial-10, but-11) auxpass(encouraged-13, is-12) conj:but(controversial-10, encouraged-13) case(writer-16, by-14) det(writer-16, this-15) nmod:by(encouraged-13, writer-16)  ",dogs,5,"case(dogs-5, of-3) compound(dogs-5, drug-4) nmod:within(dogs-5, schools-7) nmod:of(use-2, dogs-5) ",The use of drug dogs within schools have been controversial,NNS,[],,,,,,,,,"[('within', 'schools'), ('of', 'use')]","['within', 'of']",['use'],['schools'],[],,[],[],[],['drug'],[],[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
Procedures should be developed if the drug dog detects illegal substances in a student 's locker .,Procedures/NNS should/MD be/VB developed/VBN if/IN the/DT drug/NN dog/NN detects/VBZ illegal/JJ substances/NNS in/IN a/DT student/NN 's/POS locker/NN ./.,"nsubjpass(developed-4, Procedures-1) aux(developed-4, should-2) auxpass(developed-4, be-3) root(ROOT-0, developed-4) mark(detects-9, if-5) det(dog-8, the-6) compound(dog-8, drug-7) nsubj(detects-9, dog-8) advcl(developed-4, detects-9) amod(substances-11, illegal-10) dobj(detects-9, substances-11) case(locker-16, in-12) det(student-14, a-13) nmod:poss(locker-16, student-14) case(student-14, 's-15) nmod:in(substances-11, locker-16)  ",dog,8,"det(dog-8, the-6) compound(dog-8, drug-7) nsubj(detects-9, dog-8) ",be developed if the drug dog detects illegal substances in a,NN,[],detects,VBZ,subject,detects,detect,,,[],[],[],[],[],['the'],definite article,[],[],[],['drug'],[],[],[],[],[],[],[],[],[],[],[],,,singular,linked,singular,[],unknown,unknown
"Women and dogs , "" Uncle Henry Stetter jokingly quipped , "" belong at home and in the front yard "" ( H. Stetter , personal interviews , 1986 ) .","Women/NNS and/CC dogs/NNS ,/, ''/'' Uncle/NNP Henry/NNP Stetter/NNP jokingly/RB quipped/VBD ,/, ''/'' belong/VBP at/IN home/NN and/CC in/IN the/DT front/NN yard/NN ''/'' -LRB-/-LRB- H./NNP Stetter/NNP ,/, personal/JJ interviews/NNS ,/, 1986/CD -RRB-/-RRB- ./.","nsubj(quipped-10, Women-1) cc(Women-1, and-2) conj:and(Women-1, dogs-3) nsubj(quipped-10, dogs-3) compound(Stetter-8, Uncle-6) compound(Stetter-8, Henry-7) nsubj(quipped-10, Stetter-8) advmod(quipped-10, jokingly-9) ccomp(belong-13, quipped-10) root(ROOT-0, belong-13) conj:and(belong-13, belong-13') case(home-15, at-14) nmod:at(belong-13, home-15) cc(belong-13, and-16) case(front-19, in-17) det(front-19, the-18) nmod:in(belong-13', front-19) nsubj(belong-13, yard-20) nsubj(belong-13', yard-20) compound(Stetter-24, H.-23) appos(yard-20, Stetter-24) amod(interviews-27, personal-26) dep(Stetter-24, interviews-27) dep(Stetter-24, 1986-29)  ",dogs,3,"conj:and(Women-1, dogs-3) nsubj(quipped-10, dogs-3) ","Women and dogs , "" Uncle Henry Stetter",NNS,[],quipped,VBD,subject,quipped,quip,,,[],[],[],[],[],[],,"[('and', 'Women')]",['and'],['Women'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"14 <p> Agbanlikoce is also known by several other names : Bokodaho , "" the great diviner , "" is one ; Avundegla , "" the audacious dog who knocked over the owner and took his house , "" is another ( Agbidinukun 86:5:857 , 86:6:432 ; Glele 86:5:941 ; Maupoil 1981:382 ) .","14/CD <p>/NN Agbanlikoce/NN is/VBZ also/RB known/VBN by/IN several/JJ other/JJ names/NNS :/: Bokodaho/NNP ,/, ''/'' the/DT great/JJ diviner/NN ,/, ''/'' is/VBZ one/CD ;/: Avundegla/NNP ,/, ''/'' the/DT audacious/JJ dog/NN who/WP knocked/VBD over/RP the/DT owner/NN and/CC took/VBD his/PRP$ house/NN ,/, ''/'' is/VBZ another/DT -LRB-/-LRB- Agbidinukun/NNP 86:5:857/CD ,/, 86:6:432/CD ;/: Glele/NNP 86:5:941/CD ;/: Maupoil/NNP 1981:382/CD -RRB-/-RRB- ./.","nummod(Agbanlikoce-3, 14-1) compound(Agbanlikoce-3, <p>-2) nsubjpass(known-6, Agbanlikoce-3) auxpass(known-6, is-4) advmod(known-6, also-5) root(ROOT-0, known-6) case(names-10, by-7) amod(names-10, several-8) amod(names-10, other-9) nmod:by(known-6, names-10) nsubj(another-41, Bokodaho-12) det(diviner-17, the-15) amod(diviner-17, great-16) dep(Bokodaho-12, diviner-17) cop(one-21, is-20) acl:relcl(diviner-17, one-21) dep(one-21, Avundegla-23) det(dog-28, the-26) amod(dog-28, audacious-27) dep(Bokodaho-12, dog-28) nsubj(knocked-30, dog-28) nsubj(took-35, dog-28) ref(dog-28, who-29) acl:relcl(dog-28, knocked-30) compound:prt(knocked-30, over-31) det(owner-33, the-32) dobj(knocked-30, owner-33) cc(knocked-30, and-34) acl:relcl(dog-28, took-35) conj:and(knocked-30, took-35) nmod:poss(house-37, his-36) dobj(took-35, house-37) cop(another-41, is-40) parataxis(known-6, another-41) dep(another-41, Agbidinukun-43) nummod(Agbidinukun-43, 86:5:857-44) nummod(Agbidinukun-43, 86:6:432-46) dep(Agbidinukun-43, Glele-48) nummod(Glele-48, 86:5:941-49) dep(Glele-48, Maupoil-51) nummod(Maupoil-51, 1981:382-52)  ",dog,28,"det(dog-28, the-26) amod(dog-28, audacious-27) ref(dog-28, who-29) acl:relcl(dog-28, knocked-30) acl:relcl(dog-28, took-35) dep(Bokodaho-12, dog-28) nsubj(knocked-30, dog-28) nsubj(took-35, dog-28) ","Avundegla , "" the audacious dog who knocked over the owner",NN,[],knocked,VBD,subject,knocked,knock,,,[],[],[],[],[],['the'],definite article,[],[],[],[],['audacious'],[],[],[],[],[],[],[],[],[],[],,,singular,linked,ambiguous,[],unknown,unknown
"15 It too alludes to the name of your ancestor , since the word for dog ( avun ) forms the first part of his name , Avundegla .","15/CD It/PRP too/RB alludes/VBZ to/TO the/DT name/NN of/IN your/PRP$ ancestor/NN ,/, since/IN the/DT word/NN for/IN dog/NN -LRB-/-LRB- avun/NN -RRB-/-RRB- forms/VBZ the/DT first/JJ part/NN of/IN his/PRP$ name/NN ,/, Avundegla/NNP ./.","nsubj(forms-20, 15-1) nsubj(alludes-4, It-2) advmod(alludes-4, too-3) acl:relcl(15-1, alludes-4) case(name-7, to-5) det(name-7, the-6) nmod:to(alludes-4, name-7) case(ancestor-10, of-8) nmod:poss(ancestor-10, your-9) nmod:of(name-7, ancestor-10) case(word-14, since-12) det(word-14, the-13) nmod:since(alludes-4, word-14) case(dog-16, for-15) nmod:for(word-14, dog-16) appos(15-1, avun-18) root(ROOT-0, forms-20) det(part-23, the-21) amod(part-23, first-22) dobj(forms-20, part-23) case(name-26, of-24) nmod:poss(name-26, his-25) nmod:of(part-23, name-26) appos(name-26, Avundegla-28)  ",dog,16,"case(dog-16, for-15) nmod:for(word-14, dog-16) ",", since the word for dog ( avun ) forms the",NN,[],,,,,,,,,"[('for', 'word')]",['for'],['word'],[],[],,[],[],[],[],[],[],[],[],['for'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
