sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Mangi concludes that this is more properly a case of lost sheep , rather than lost tribes ( p.57 ) .",sheep,"case(sheep-12, of-10) amod(sheep-12, lost-11) nmod:of(case-9, sheep-12) ",NN,,,,,,,,of case,of,case,,,,,,lost,,,,,,,,,,,,singular,,[],unknown,unknown
"Indeterminacy "" of 1958 , Cage explained : <p> There is the possibility when people are crowded together that they will act like sheep rather than nobly .",sheep,"case(sheep-24, like-23) cc(sheep-24, rather-25) conj:negcc(sheep-24, nobly-27) nmod:like(act-22, sheep-24) ",NN,,,,,,,,like act,like,act,,,negcc,nobly,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Fainting on the sidewalk , he hallucinates a vista that is strewn with grazing sheep , with richly fruited apple trees , with sweetly scented flowers , "" la musique divine des choses "" ( 316 ) .",sheep,"case(sheep-15, with-13) compound(sheep-15, grazing-14) nmod:with(strewn-12, sheep-15) ",NN,,,,,,,,with strewn,with,strewn,,,,,grazing,,,,,,,,,,,,,singular,,[],unknown,unknown
"His dog Edward then takes up the job , tearing open the screen door to get at the next neighbor and attacking family members who try to leave ; it 's his "" sheep herding instinct ....",sheep,"acl(sheep-34, herding-35) dobj(tearing-10, sheep-34) ",NN,,VBG,,,tearing,tear,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"They could have used several more members-a family clown , for instance ; and a genuine black sheep , blacker than Cody ; and maybe one of those managerial older sisters who holds a group together by force .",sheep,"det(sheep-18, a-15) amod(sheep-18, genuine-16) amod(sheep-18, black-17) dobj(used-4, sheep-18) conj:and(family-8, sheep-18) ",NN,,VBN,,,used,use,,,,,,a,and,family,,"genuine, black",,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"<p> Story by Nancy Scheper-Hughes and Daniel Hoffman <p> Photographs by J. L. Bulcao ; Gamma Liaison <p> 
##4013364 Section : This View of Life Ruminations on the down fall of a king and the clotting of a sheep <p> Nothing can be more fleeting or capricious than fashion .",sheep,"compound(Nothing-42, sheep-40) ",NN,,,,,,,,,,,,,,,nothing,,,,,,,,,,,,,singular,,[],unknown,unknown
"The subjects may seem quite unrelated -- Dolly , cloned sheep and Frank Sulloway 's book on the effects of girth order upon human behavior -- but both stories share a common feature offering striking insight into the current extent of genetic preferences .",sheep,"amod(sheep-11, cloned-10) dep(unrelated-6, sheep-11) conj:and(Dolly-8, sheep-11) ",NN,,,,,,,,,,,,,and,dolly,,cloned,,,,,,,,,,,,singular,,[],unknown,unknown
"We may not think much of the individuality of sheep in general ( for they do set our icon of blind following and identical form as they jump over fences in mental schemes of insomniacs ) , but Dolly will grow up to be as unique and as ornery as any sheep can be .",sheep,"case(sheep-10, of-9) nmod:in(sheep-10, general-12) nmod:of(individuality-8, sheep-10) ",NN,,,,,,,,"in general, of individuality","in, of",individuality,general,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"We may not think much of the individuality of sheep in general ( for they do set our icon of blind following and identical form as they jump over fences in mental schemes of insomniacs ) , but Dolly will grow up to be as unique and as ornery as any sheep can be .",sheep,"det(sheep-52, any-51) nsubj(be-54, sheep-52) ",NN,,VB,be,be,,,,,,,,any,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Thus , we worry whether the first cloned sheep represents a genuine individual at all , while we forget that we have never doubted the distinct personhood guaranteed by differences in nurture to clones far more similar by nature than Dolly and her mother -- identical twins .",sheep,"det(sheep-9, the-6) amod(sheep-9, first-7) compound(sheep-9, cloned-8) nsubj(represents-10, sheep-9) ",NN,,VBZ,represents,represent,,,,,,,,the,,,cloned,first,,,,,,,,,,,,singular,singular,[],unknown,unknown
Oocytes released from such frozen-thawed material are viable ; live births have resulted in mice and sheep after autologous transplants of ovarian grafts stored at -196 oC ( Gosden et al .,sheep,"nmod:in(resulted-13, sheep-17) conj:and(mice-15, sheep-17) ",NN,,,,,,,,in resulted,in,resulted,,,and,mice,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Let us not look for a difference only "" from the shoulder and upward "" but let the difference between shepherd and sheep be as great as the distinction between rational and irrational creatures , not to say even more , since matters of much greater moment are at stake.",sheep,"nmod:between(difference-19, sheep-23) conj:and(shepherd-21, sheep-23) ",NN,,,,,,,,between difference,between,difference,,,and,shepherd,,,,,,,,,,,,,,singular,,[],unknown,unknown
"And woman herself is property , along with the asses , the oxen , and the sheep .",sheep,"det(sheep-17, the-16) conj:and(property-5, sheep-17) ",NN,,,,,,,,,,,,the,and,property,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The system they used was one that can be found in many introductory ecology textbooks -- Australian researcher A. J. Nicholson 's 1957 laboratory study of a sheep blowfly ( Lucilia cuprina ) population . """,sheep,"compound(population-34, sheep-28) ",NN,,,,,,,,,,,,,,,population,,,,,,,,,,,,,singular,,[],unknown,unknown
"In northwestern regions of the Mediterranean Basin , clearing for cultivation , pasture , and habitation occurred as early as 6000 years ago , when goat and sheep husbandry became an important economic activity ( Vernet 1987 ) .",sheep,"conj:and(goat-26, sheep-28) nsubj(became-30, sheep-28) ",NN,,VBD,became,become,,,,,,,,,and,goat,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"But I was stopped in less than an hour by a dog fiercely guarding the sheep under its care , which had straggled across the path on their way back from pasture .",sheep,"det(sheep-16, the-15) dobj(guarding-14, sheep-16) ",NN,,VBG,,,guarding,guard,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"( Eating sheep was also considered backward by the Greeks , who were not regular meat eaters . )",sheep,"compound(sheep-3, Eating-2) nsubjpass(considered-6, sheep-3) ",NNP,,VBN,considered,consider,,,,,,,,,,,eating,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> As I watched the herds being rounded up and moved along , mostly by old women who ' used the ancient shepherd 's crook as a very practical tool , I saw that real Arcadians do not , like Virgil 's , lie in the shade and talk to the sheep ( who mourn their master 's unhappy love life as dolefully as the lachrymose mountains ) .",sheep,"case(sheep-52, to-50) det(sheep-52, the-51) dep(sheep-52, mourn-55) nmod:to(talk-49, sheep-52) ",NN,,,,,,,,to talk,to,talk,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Ladon 's springs leap to get away from their source , clattering over rocks with a sound like the clunking of the sheep bells higher up the hill .",sheep,"compound(bells-24, sheep-23) ",NN,,,,,,,,,,,,,,,bells,,,,,,,,,,,,,singular,,[],unknown,unknown
"It is the same flock of sheep even if they arrange themselves in a different order , and move to a different hill .",sheep,"case(sheep-7, of-6) nmod:of(flock-5, sheep-7) ",NN,,,,,,,,of flock,of,flock,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"This year , scientists cloned a sheep .",sheep,"det(sheep-7, a-6) dobj(cloned-5, sheep-7) ",NN,,VBN,,,cloned,clone,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"sup5 <p> Central to the Man Mau was the "" oathing "" during which , according to historian John Lonsdale , recruits "" committed their life to the cause in swallowing a stew of mutton or goat , vegetables and cereals , sprinkled with soil , marinated in goat 's blood , and watched by uprooted sheep 's eyes transfixed on thorns . """,sheep,"amod(sheep-57, uprooted-56) case(sheep-57, 's-58) nmod:poss(eyes-59, sheep-57) ",NN,,,,,,,,,,,,,,,,uprooted,eyes,,,,,,,,,,,singular,,[],unknown,unknown
"<p> This particular White woman prefers Tall Walker as an Indian shaped by her romantic notions of Indianness , rather than as a real Indian herding sheep and living in poverty .",sheep,"case(sheep-27, as-9) det(sheep-27, an-10) amod(sheep-27, Indian-11) amod(sheep-27, shaped-12) cc(sheep-27, and-28) conj:and(sheep-27, living-29) nmod:as(Walker-8, sheep-27) ",NN,,,,,,,,as Walker,as,walker,,an,and,living,,"indian, shaped",,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"Tall Walker returns to his tribe to drive his sheep to winter fields , but an unexpected snowstorm nearly kills him , his family , and the other Indians .",sheep,"nmod:poss(sheep-10, his-9) dobj(drive-8, sheep-10) ",NN,,VB,,,drive,drive,,,,,,,,,,,,his,,,,,,,,,,singular,ambiguous,[],unknown,unknown
The sheep are all lost .,sheep,"det(sheep-2, The-1) nsubjpass(lost-5, sheep-2) ",NN,,VBN,lost,lose,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Horses provided transportation and food for the winter months , while goats and sheep served as a continuing source of sustenance , blankets , clothing , and a means for entering the barter economy of the trading post .",sheep,"conj:and(goats-12, sheep-14) nsubj(served-15, sheep-14) ",NN,,VBD,served,serve,,,,,,,,,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"One of the four sacred mountains , Dibe Ntsaa , or Big Sheep Mountain , was "" made of sheep -- both rams and ewes . """,sheep,"case(sheep-20, of-19) nmod:of(made-18, sheep-20) ",NN,,,,,,,,of made,of,made,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"... All of the living creatures , like sheep , horses , cows , etc.",sheep,"compound(cows-13, sheep-9) ",NNS,,,,,,,,,,,,,,,cows,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"From the sheep and cattle , life renews itself .",sheep,"case(sheep-3, From-1) det(sheep-3, the-2) cc(sheep-3, and-4) conj:and(sheep-3, cattle-5) nmod:from(renews-8, sheep-3) ",NN,,,,,,,,from renews,from,renews,,the,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
"On the tip of these plants are horses , cattle , and sheep .",sheep,"appos(horses-8, sheep-13) conj:and(cattle-10, sheep-13) ",NN,,,,,,,,,,,,,and,cattle,,,,,,,"modifier, horses",horses,,,,,,singular,,[],unknown,unknown
"They are made of plants which are sheep . """,sheep,"nsubj(sheep-8, plants-5) cop(sheep-8, are-7) acl:relcl(plants-5, sheep-8) ",NN,,VBP,,,are,be,,,,,,,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
5 <p> There are also special plants created by the holy beings to maintain the sheep 's health .,sheep,"det(sheep-16, the-15) case(sheep-16, 's-17) nmod:poss(health-18, sheep-16) ",NN,,,,,,,,,,,,the,,,,,health,,,,,,,,,,,singular,,[],unknown,unknown
"Navajos believe that when sheep are around deer or their residue , the domesticated animals become contaminated with excitement and are uncontrollable .",sheep,"nsubj(deer-8, sheep-5) ",NN,,VBP,are,be,,,,,,,,,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
This herb quiets the sheep.,sheep,"det(sheep-5, the-4) dobj(quiets-3, sheep-5) ",NN,,VBZ,,,quiets,quiet,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"6 Conversely , some Navajos chase their sheep around waving a fawn skin so that they will learn to forage for themselves and not be lazy.",sheep,"nmod:poss(sheep-8, their-7) dobj(chase-6, sheep-8) ",NN,,VB,,,chase,chase,,,,,,,,,,,,their,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Deer bones are cut differently than sheep , the former having only one joint , the latter having a second or false joint .",sheep,"case(sheep-7, than-6) appos(sheep-7, former-10) nmod:than(cut-4, sheep-7) ",NN,,,,,,,,than cut,than,cut,,,,,,,,,,,"modified, former",,former,,,,,singular,,[],unknown,unknown
"The sheep is cut in this second joint , and if the butcher fails to do so , lambs will be born crippled or deformed.",sheep,"det(sheep-2, The-1) nsubjpass(cut-4, sheep-2) ",NN,,VBN,cut,cut,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"8 Deer bones are not cracked for the marrow , sheep 's bones are .",sheep,"case(sheep-11, 's-12) nmod:poss(bones-13, sheep-11) ",NN,,,,,,,,,,,,,,,,,bones,,,,,,,,,,,singular,,[],unknown,unknown
"Indeed , the whole process of killing and preparing sheep as food is ritually circumscribed , reminding the participant of the sacred bonds between man , animal , and the supernatural .",sheep,"dobj(killing-7, sheep-10) ",NN,,VBG,,,killing,kill,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
9 The sheep or goat is killed by cutting its throat as the head faces to the north .,sheep,"det(sheep-3, The-2) cc(sheep-3, or-4) conj:or(sheep-3, goat-5) dep(9-1, sheep-3) ",NN,,,,,,,,,,,,the,or,goat,,,,,,,,,,,,,,singular,,[],unknown,unknown
"As a person tends the flock , the sheep watch their caretaker .",sheep,"det(sheep-9, the-8) nsubj(watch-10, sheep-9) ",NN,,VBP,watch,watch,,,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"To Charlie Blueeyes , a Navajo who lived and worked with sheep all his life , "" The sheep are made of money , gold , necklaces , and many goods .",sheep,"case(sheep-12, with-11) nmod:with(worked-10, sheep-12) ",NN,,,,,,,,with worked,with,worked,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"To Charlie Blueeyes , a Navajo who lived and worked with sheep all his life , "" The sheep are made of money , gold , necklaces , and many goods .",sheep,"det(sheep-19, The-18) nsubjpass(made-21, sheep-19) ",NN,,VBN,made,make,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"During the time of the myths , the gods placed sacred baskets filled with plants , flowers , pollen , and dew drops to attract the sheep , and so now when the animals come to their pen , they are fulfilling the measure of their creation in a holy way.",sheep,"det(sheep-27, the-26) dobj(attract-25, sheep-27) ",NN,,VB,,,attract,attract,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
Navajo testimony is replete with parental teachings about the value of sheep .,sheep,"case(sheep-12, of-11) nmod:of(value-10, sheep-12) ",NN,,,,,,,,of value,of,value,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Therefore , learn to take care of the sheep , for it will be your mother and father and support you .",sheep,"case(sheep-9, of-7) det(sheep-9, the-8) nmod:of(care-6, sheep-9) ",NN,,,,,,,,of care,of,care,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"14 <p> After a baby was born , the mother buried a child 's umbilical cord in the sheep or horse corral so that these animals would think well of the child , provide easily the products of the flock , and encourage the child 's interests and heart to always return to home and the livestock .",sheep,"cc(sheep-19, or-20) conj:or(sheep-19, horse-21) compound(corral-22, sheep-19) ",NN,,,,,,,,,,,,,or,horse,corral,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Susie L. Yazzie remembers being carried piggy-back after the sheep , then later walking with them while holding her aunt 's hand .",sheep,"case(sheep-11, after-9) det(sheep-11, the-10) nmod:after(carried-7, sheep-11) ",NN,,,,,,,,after carried,after,carried,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Navajos , as stockmen , became intimately aware of each of their sheep and goats .",sheep,"case(sheep-14, of-12) nmod:poss(sheep-14, their-13) cc(sheep-14, and-15) conj:and(sheep-14, goats-16) nmod:of(each-11, sheep-14) ",NN,,,,,,,,of each,of,each,,,and,goats,,,,their,,,,,,,,,,singular,,[],unknown,unknown
"An evaluation of a family 's position in society derived directly , not only from numbers and quality of sheep and goats , but also from how well they were cared for .",sheep,"case(sheep-20, of-19) cc(sheep-20, and-21) conj:and(sheep-20, goats-22) nmod:of(numbers-16, sheep-20) ",NN,,,,,,,,of numbers,of,numbers,,,and,goats,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Losing sheep because of poor herding practices or gambling was synonymous to intolerable , profligate living.",sheep,"amod(sheep-2, Losing-1) nmod:because_of(sheep-2, practices-7) cc(sheep-2, or-8) conj:or(sheep-2, gambling-9) nsubj(synonymous-11, sheep-2) ",NN,,VBD,was,be,,,,because_of practices,because_of,,practices,,or,gambling,,losing,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"20 As Richard Hobson points out in his classic study , Navaho Acquisitive Values , "" The Navahos value their sheep perhaps more than any other material object .",sheep,"nmod:poss(sheep-21, their-20) dobj(value-19, sheep-21) ",NN,,VBP,,,value,value,,,,,,,,,,,,their,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"... An old Navaho woman reported that on pay day , her people ' do n't want to take the money , but would rather take the sheep . '",sheep,"det(sheep-28, the-27) dobj(take-26, sheep-28) ",NN,,VB,,,take,take,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"During 1930 in the Montezuma Creek and Aneth area , 19,514 sheep and goats passed through dip vats filled with medicine to prevent scabies .",sheep,"nummod(sheep-12, 19,514-11) cc(sheep-12, and-13) conj:and(sheep-12, goats-14) nsubj(passed-15, sheep-12) ",NN,,VBN,passed,pass,,,,,,,,,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Still others probably skipped the process entirely , but if the totals from the Aneth and Oljato areas are combined , at least 63,137 sheep and goats ranged over the reservation lands of southeastern Utah.",sheep,"nummod(sheep-25, 63,137-24) cc(sheep-25, and-26) conj:and(sheep-25, goats-27) nsubj(ranged-28, sheep-25) ",NNS,,VBD,ranged,range,,,,,,,,,and,goats,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"The annual report went on to say that "" an excessive number of goats and sheep were slaughtered for food .",sheep,"nmod:of(number-12, sheep-16) conj:and(goats-14, sheep-16) ",NN,,,,,,,,of number,of,number,,,and,goats,,,,,,,,,,,,,,singular,,[],unknown,unknown
"A year later , the sheep were killed , followed by horses and cattle .",sheep,"det(sheep-6, the-5) nsubjpass(killed-8, sheep-6) ",NN,,VBN,killed,kill,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"27 He told of how during the 1860s , Navajos had their sheep "" gunned down , "" creating starvation for the people .",sheep,"nmod:poss(sheep-13, their-12) acl(sheep-13, gunned-15) dobj(had-11, sheep-13) ",NN,,VBD,,,had,have,,,,,,,,,,,,their,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"28 Chee went on to say , There were no sheep left .",sheep,"neg(sheep-11, no-10) acl(sheep-11, left-12) nsubj(were-9, sheep-11) ",NN,no,VBD,were,be,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,verdical
"Before that , there were quite a few sheep running around .",sheep,"advmod(sheep-9, quite-6) det(sheep-9, a-7) amod(sheep-9, few-8) acl(sheep-9, running-10) nsubj(were-5, sheep-9) ",NN,,VBD,were,be,,,,,,,,a,,,,few,,,,quite,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"Here are your sheep , the ones we have done away with .",sheep,"advmod(sheep-4, Here-1) dep(sheep-4, are-2) nmod:poss(sheep-4, your-3) appos(sheep-4, ones-7) root(ROOT-0, sheep-4) ",NN,,,,,,,,,,,,,,,,,,your,,here,"modified, ones",,ones,,,,,singular,,[],unknown,unknown
There were many sheep later .,sheep,"amod(sheep-4, many-3) nsubj(were-2, sheep-4) ",NN,,VBD,were,be,,,,,,,,,,,,many,,,,,,,,,,many,fuzzy,singular,ambiguous,[],unknown,unknown
"The sheep and goats were a nuisance and so "" they Whites started planning again . """,sheep,"det(sheep-2, The-1) cc(sheep-2, and-3) conj:and(sheep-2, goats-4) acl:relcl(sheep-2, nuisance-7) acl:relcl(sheep-2, Whites-12) nsubj(started-13, sheep-2) ",NN,,VBD,started,start,,,,,,,,the,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"34 A man spat out , "" If you take my sheep , you kill me .",sheep,"nmod:poss(sheep-12, my-11) dobj(take-10, sheep-12) ",NN,,VBP,,,take,take,,,,,,,,,,,,my,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"44 <p> During livestock reduction , the canyons and passes again provided protection , but this time for the flocks of sheep and goats .",sheep,"case(sheep-22, of-21) cc(sheep-22, and-23) conj:and(sheep-22, goats-24) nmod:of(flocks-20, sheep-22) ",NN,,,,,,,,of flocks,of,flocks,,,and,goats,,,,,,,,,,,,,,singular,,[],unknown,unknown
46 <p> Medicine men also performed ceremonies to protect the sheep .,sheep,"det(sheep-11, the-10) dobj(protect-9, sheep-11) ",NN,,VB,,,protect,protect,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
Some children were bringing home the sheep in the evening when government agents approached them .,sheep,"det(sheep-7, the-6) nmod:in(sheep-7, evening-10) dobj(bringing-4, sheep-7) ",NN,,VBG,,,bringing,bring,,in evening,in,,evening,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The men told the youngsters to bring the sheep closer together so they could catch them and once this was accomplished , the slaughter started . """,sheep,"det(sheep-9, the-8) dobj(bring-7, sheep-9) ",NN,,VB,,,bring,bring,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
It was strange to stand among the blood-soaked dead sheep with the few that were left .,sheep,"case(sheep-10, among-6) det(sheep-10, the-7) amod(sheep-10, blood-soaked-8) amod(sheep-10, dead-9) nmod:among(stand-5, sheep-10) ",NN,,,,,,,,among stand,among,stand,,the,,,,dead,,,,,,,,,,,,singular,,[],unknown,unknown
"... After this we were put in poverty by the confiscation of our sheep and horses . """,sheep,"case(sheep-14, of-12) nmod:poss(sheep-14, our-13) cc(sheep-14, and-15) conj:and(sheep-14, horses-16) nmod:of(confiscation-11, sheep-14) ",NN,,,,,,,,of confiscation,of,confiscation,,,and,horses,,,,our,,,,,,,,,,singular,,[],unknown,unknown
57 <p> The BIA cultivated informants who reported names of people hiding sheep or not cooperating with the government 's intent .,sheep,"dobj(hiding-12, sheep-13) ",NN,,VBG,,,hiding,hide,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Some Navajos believed he "" hated "" them and that he looked at them with "" hungry eyes "" because they were "" getting rich by having too many sheep . """,sheep,"advmod(sheep-30, too-28) amod(sheep-30, many-29) dobj(having-27, sheep-30) ",NN,,VBG,,,having,have,,,,,,,,,,many,,,,too,,,,,,many,fuzzy,singular,ambiguous,[],unknown,unknown
"The two men started their verbal sparring , the white man saying there was no room for more sheep and that they were making "" narrow gullies .",sheep,"case(sheep-19, for-17) amod(sheep-19, more-18) nmod:for(room-16, sheep-19) ",NN,,,,,,,,for room,for,room,,,,,,more,,,,,,,,,,,,singular,,[],unknown,unknown
"Of his six hundred plus sheep , he kept three hundred and fifty-four.",sheep,"case(sheep-6, Of-1) nmod:poss(sheep-6, his-2) nummod(sheep-6, hundred-4) compound(sheep-6, plus-5) nmod:of(kept-9, sheep-6) ",NN,,,,,,,,of kept,of,kept,,,,,plus,,,his,"six, hundred",,,,,,,six,other,singular,,['O-DEN'],countable,unknown
"The people will multiply , the horses and the sheep too , the corn will reproduce itself , plants of all kinds will always grow ... and it will rain . """,sheep,"det(sheep-10, the-9) conj:and(horses-7, sheep-10) nmod:npmod(too-11, sheep-10) ",NN,,,,,,,,npmod too,npmod,too,,the,and,horses,,,,,,,,,,,,,,singular,,[],unknown,unknown
"To the Navajos , the sheep pray to the gods , who send rain to help the plants grow .",sheep,"compound(pray-7, sheep-6) ",NN,,VBP,grow,grow,,,,,,,,,,,pray,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"Consequently , the Dine believed there was plenty of vegetation before the sheep were killed . """,sheep,"det(sheep-13, the-12) nsubjpass(killed-15, sheep-13) ",NN,,VBN,killed,kill,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
There is very little now for a sheep to take a bite of .,sheep,"case(sheep-8, for-6) det(sheep-8, a-7) acl(sheep-8, take-10) nmod:for(is-2, sheep-8) ",NN,,,,,,,,for is,for,is,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"70 When Collier killed the sheep , he also affected the male rains and the vegetation , one of the main things he was trying to protect .",sheep,"det(sheep-6, the-5) dobj(killed-4, sheep-6) ",NN,,VBD,,,killed,kill,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"It is so tough it can kill horses and sheep that eat it , and can make a person ill if scratched by it .",sheep,"dobj(kill-7, sheep-10) conj:and(horses-8, sheep-10) nsubj(eat-12, sheep-10) ",NN,,VBP,eat,eat,,,,,,,,,and,horses,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
76 <p> Is this pushing the effects of livestock reduction too far -- to compare Nazi concentration camp inmates to the old people 's feelings about losing sheep ?,sheep,"dobj(losing-27, sheep-28) ",NN,,VBG,,,losing,lose,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"From their perspective , where "" sheep were life , "" the trauma encountered , even though psychological , was real .",sheep,"nsubj(life-9, sheep-7) ",NN,,VBD,were,be,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
How many will never be known because of the loss of the sheep and other animals .,sheep,"case(sheep-13, of-11) det(sheep-13, the-12) cc(sheep-13, and-14) conj:and(sheep-13, animals-16) nmod:of(loss-10, sheep-13) ",NN,,,,,,,,of loss,of,loss,,the,and,animals,,,,,,,,,,,,,,singular,,[],unknown,unknown
"What this meant to the Navajo in 1936 when the government introduced this system on the reservation , was that the land was now divided into grazing sections evaluated on how well they could support one cow , one horse , or five sheep as a unit of measure .",sheep,"nummod(sheep-44, five-43) dobj(support-35, sheep-44) conj:or(cow-37, sheep-44) ",NN,,VB,,,support,support,,,,,,,or,cow,,,,,five,,,,,,,five,other,singular,ambiguous,['O-DEN'],countable,unknown
"Men left home to earn money , women herded what sheep and goats remained , wove their rugs , and hoped their husbands would return to help keep the family intact .",sheep,"cc(sheep-11, and-12) conj:and(sheep-11, goats-13) nsubj(remained-14, sheep-11) nsubj(wove-16, sheep-11) nsubj(hoped-21, sheep-11) ",NN,,VBD,remained,remain,,,,,,,,,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Goats and sheep were owned by most households and were frequently slaughtered for food , while cattle were rarely butchered ( Lebulu 1979 ) .",sheep,"conj:and(Goats-1, sheep-3) nsubjpass(owned-5, sheep-3) ",NN,,VBN,owned,own,,,,,,,,,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Their culture is dominated by cattle ( and to a lesser extent by sheep and goats ) , to which they attach a social and moral significance far beyond their economic value .",sheep,"case(sheep-14, by-13) cc(sheep-14, and-15) conj:and(sheep-14, goats-16) nmod:by(extent-12, sheep-14) ",NN,,,,,,,,by extent,by,extent,,,and,goats,,,,,,,,,,,,,,singular,,[],unknown,unknown
"They also considered migration to the city an unrealistic alternative , as there they would be totally dependent on their salary , while in the village they had access to sheep , cattle and land .",sheep,"case(sheep-31, to-30) conj:and(sheep-31, cattle-33) cc(sheep-31, and-34) conj:and(sheep-31, land-35) nmod:to(access-29, sheep-31) ",NN,,,,,,,,to access,to,access,,,"and, and","cattle, land",,,,,,,,,,,,,,singular,,[],unknown,unknown
"Then I drove the sheep again , then played for half an hour before school .",sheep,"det(sheep-5, the-4) dobj(drove-3, sheep-5) ",NN,,VBD,,,drove,drive,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"After driving the sheep I fetched corn again , then hay .",sheep,"det(sheep-4, the-3) acl:relcl(sheep-4, fetched-6) dobj(driving-2, sheep-4) ",NN,,VBG,,,driving,drive,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
Then I drove the sheep to another place .,sheep,"det(sheep-5, the-4) dobj(drove-3, sheep-5) ",NN,,VBD,,,drove,drive,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
