sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"<p> Commodities being studied at HCQL to bolster their microbial safety include fresh-cut spinach , celery , carrots , apples , bananas , sweet peppers , tomatoes , squash , strawberries , grapefruit , grapes , plums , and melons .",carrots,"dobj(include-12, carrots-18) conj:and(spinach-14, carrots-18) ",NNS,,VBP,,,include,include,,,,,,,,and,spinach,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,plural,,unknown,unknown
"Flowers in the carrot ( dill , caraway ) , mustard ( alyssum , rock cress ) and daisy ( yarrow , black-eyed Susan , coneflowers ) families are especially helpful in attracting beneficial wasps .",carrot,"case(carrot-4, in-2) det(carrot-4, the-3) dep(carrot-4, dill-6) conj:and(carrot-4, mustard-11) cc(carrot-4, and-18) conj:and(carrot-4, families-28) nmod:in(Flowers-1, carrot-4) ",NN,,,,,,,,in Flowers,in,flowers,,the,definite article,"and, and","mustard, families",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Mulligatawny Soup TABLE <p> Melt the butter in a 3-quart saucepan , and saute onion , carrot and celery for 5 minutes .",carrot,"dobj(saute-14, carrot-17) conj:and(onion-15, carrot-17) ",NN,,VB,,,saute,saute,,,,,,,,and,onion,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> A wilted broccoli stalk , a grapefruit peel , a carrot top .",carrot,"compound(top-13, carrot-12) ",NN,,,,,,,,,,,,,,,,top,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Add carrots , and cook for several minutes .",carrots,"dobj(Add-1, carrots-2) ",NNS,,VB,,,Add,add,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
But protecting these already abundant small fish with a minimum-size law is a little like refusing to thin out densely crowded carrots or radishes in a vegetable garden .,carrots,"case(carrots-22, to-17) amod(carrots-22, thin-18) amod(carrots-22, crowded-21) cc(carrots-22, or-23) conj:or(carrots-22, radishes-24) nmod:to(refusing-16, carrots-22) ",NNS,,,,,,,,to refusing,to,refusing,,,,or,radishes,,"thin, crowded","[0.4443214285714284, 0.07083333333333335]","[0.020833333333333336, 0.06270833333333334]","[0.0008333333333333333, 0.01375]","[0.0155, 0.09050000000000001]","[0.011000000000000001, 0.075]","[0.005, 0.0025]","[0.02, 0.08375]","[0.015, 0.07]","[0.43751190476190494, 0.13470833333333332]","[0.0075, 0.1075]","[0.0125, 0.1075]","[0.005, 0.09125]","[0.005, 0.09]",,,,,,,,,,,,plural,linked,,,unknown,unknown
"He and his kine are surrounded by a menagerie of inflatable animals ... a brightly colored macaw perched on the head of a gorilla , a pink rabbit munching a carrot , a striped cat nuzzling a snake ... and a red , white , and blue robot , which symbolically connects the past , present and future .",carrot,"det(carrot-31, a-30) dobj(munching-29, carrot-31) ",NN,,VBG,,,munching,munch,,,,,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"The paper has long been an admirer of the carrot , but has lately emerged as even more respectful of the stick .",carrot,"case(carrot-10, of-8) det(carrot-10, the-9) nmod:of(admirer-7, carrot-10) ",NN,,,,,,,,of admirer,of,admirer,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"-- George Bush , on why he drinks carrot juice .",carrot,"compound(juice-10, carrot-9) ",NN,,VBZ,,,drinks,drink,,,,,,,,,,juice,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"Among those already identified as such are : bananas , broccoli , brussels sprouts , cabbage , carrots , celery , cocoa , grapefruit juice , honeydew melon , mushrooms , mustard , orange juice , peaches , black pepper , raspberries , turnips -- and apples , sans Alar .",carrots,"appos(bananas-9, carrots-18) ",NNS,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, bananas",bananas,,,,,,plural,bare plural,,,unknown,unknown
"Senior citizens in retirement developments are enticed with a combination of carrots and sticks ; in one case , residents in a complex were told that if they did not vote for the mayor they would lose the traffic light that enables them to cross the street safely to a nearby shopping center .",carrots,"case(carrots-12, of-11) nmod:of(combination-10, carrots-12) ",NNS,,,,,,,,of combination,of,combination,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"The goal of a balanced budget , which had been enshrined in the Gramm -- Rudman law , is now replaced by a process analogous to a donkey chasing a carrot tied to the end of a stick .",carrot,"det(carrot-31, a-30) acl(carrot-31, tied-32) dobj(chasing-29, carrot-31) ",NN,,VBG,,,chasing,chase,,,,,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"We 've got a carrot-and-stick policy , "" said Baker , "" and the carrot is , if he gets out , he does n't get the stick . """,carrot,"det(carrot-15, the-14) nsubj(is-16, carrot-15) ",NN,,VBZ,is,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"Some good choices are carrots , sweet potatoes , cantaloupes , pumpkins , sweet red peppers , butternut or acorn squash and dark green leafy vegetables .",carrots,"nsubj(carrots-5, choices-3) cop(carrots-5, are-4) conj:and(carrots-5, potatoes-8) conj:and(carrots-5, cantaloupes-10) conj:and(carrots-5, pumpkins-12) conj:and(carrots-5, peppers-16) conj:and(carrots-5, squash-21) cc(carrots-5, and-22) conj:and(carrots-5, vegetables-26) root(ROOT-0, carrots-5) ",NNS,,VBP,,,are,be,,,,,,,,"and, and, and, and, and, and","potatoes, cantaloupes, pumpkins, peppers, squash, vegetables",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,plural,,unknown,unknown
"Other potassium-rich foods : apricots , avocados , potatoes , lima beans , spinach , yogurt , dates , orange and grapefruit juice , chicken , brussels sprouts , skim milk , carrots , tomatoes and prunes .",carrots,"dep(foods-3, carrots-33) conj:and(apricots-5, carrots-33) ",NNS,,,,,,,,,,,,,,and,apricots,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Add the onions , carrots , celery , leeks , shallots and saffron .",carrots,"dobj(Add-1, carrots-5) conj:and(onions-3, carrots-5) ",NNS,,VB,,,Add,add,,,,,,,,and,onions,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"In a 6-quart pot , combine the stock , tomatoes , carrots and leeks .",carrots,"dobj(combine-6, carrots-12) conj:and(stock-8, carrots-12) ",NNS,,VB,,,combine,combine,,,,,,,,and,stock,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"<p> In the dessert department , serve fresh-fruit cocktails and an easy , low-fat sweet like the gingered carrot bars featured here .",carrot,"compound(bars-20, carrot-19) ",NN,,,,,,,,,,,,,,,,bars,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"With no cholesterol at all and ample fiber from oats and carrots , these delicious little gems are just the right finale for a healthy day outdoors .",carrots,"nmod:from(fiber-8, carrots-12) conj:and(oats-10, carrots-12) ",NNS,,,,,,,,from fiber,from,fiber,,,,and,oats,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"In a medium bowl , combine the carrot , maple syrup , egg whites , oil , ginger and vanilla .",carrot,"det(carrot-8, the-7) conj:and(carrot-8, syrup-11) conj:and(carrot-8, whites-14) conj:and(carrot-8, oil-16) conj:and(carrot-8, ginger-18) cc(carrot-8, and-19) conj:and(carrot-8, vanilla-20) dobj(combine-6, carrot-8) ",NN,,VB,,,combine,combine,,,,,,the,definite article,"and, and, and, and, and","syrup, whites, oil, ginger, vanilla",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
<p> PHOTO ( COLOR ) : Revised refreshments : Gingered carrot bars beat brownies by a fat mile ; sparkling fresh fruitade puts a taste twist on lemonade .,carrot,"compound(bars-12, carrot-11) ",NN,,VBD,beat,beat,,,,,,,,,,,,bars,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Add the onions , carrots , parsley , egg whites , tomato paste , mustard , brewer 's yeast , chili peppers , garlic and pepper .",carrots,"dobj(Add-1, carrots-5) conj:and(onions-3, carrots-5) ",NNS,,VB,,,Add,add,,,,,,,,and,onions,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"<p> To make turkey broth : In large pan , over high heat , bring 4 cups water , turkey giblets , 1 sliced celery stalk , 1 sliced carrot , 1 sliced onion , 1 bay leaf , 3 parsley sprigs , and 4 peppercorns to boil .",carrot,"nummod(carrot-30, 1-28) amod(carrot-30, sliced-29) nsubj(bring-15, carrot-30) conj:and(water-18, carrot-30) ",NN,,VBP,bring,bring,,,,,,,,,,and,water,,sliced,[0.0875],[0.1729166666666667],[0.0275],[0.09458333333333332],[0.0725],[0.025],[0.0925],[0.03875],[0.25625],[0.0225],[0.0325],[0.025],[0.0525],,,1,,,,,,,1,unit,singular,linked,plural,"A+N, EX-PL",countable,unknown
"Wash and scrape carrots , then wash again .",carrots,"compound(carrots-4, Wash-1) compound(carrots-4, scrape-3) nsubj(wash-7, carrots-4) ",NNS,,VBP,wash,wash,,,,,,,,,,,,"wash, scrape",,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,plural,,unknown,unknown
"Combine peas and carrots in saucepan , cover with boiling water , and boil 5 minutes .",carrots,"dobj(Combine-1, carrots-4) conj:and(peas-2, carrots-4) ",NNS,,VB,,,Combine,combine,,,,,,,,and,peas,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"Pour hot syrup over carrots ; leave 1 "" head space .",carrots,"case(carrots-5, over-4) dep(carrots-5, leave-7) nmod:over(syrup-3, carrots-5) ",NNS,,,,,,,,over syrup,over,syrup,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"Nutrient Analysis TABLE Healthful Low-Fat Dishes Split Pea Soup ( Makes 10 servings ) TABLE <p> In large saucepan or Dutch oven , bring peas , water , carrots , onions , garlic , celery , and ham to rapid boil over medium-high heat .",carrots,"appos(peas-25, carrots-29) conj:and(water-27, carrots-29) ",NN,,,,,,,,,,,,,,and,water,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, peas",peas,,,,,,ambiguous,linked,,,unknown,unknown
"Pasta with Catfish and Artichokes ( Makes 8 servings ) TABLE <p> Saute artichokes , red pepper , carrot strips , and zucchini in melted margarine and oil .",carrot,"compound(strips-20, carrot-19) ",NN,,VBP,,,TABLE,table,,,,,,,,,,strips,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
"Add garlic , carrots , peppers , seasonings , chicken broth , and water .",carrots,"dobj(Add-1, carrots-4) conj:and(garlic-2, carrots-4) ",NNS,,VB,,,Add,add,,,,,,,,and,garlic,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"But in order to offer a credible carrot , the President , too , would have to retreat - from his demand that Hussein surrender Kuwait unconditionally and from his promise never to reward Iraq 's aggression .",carrot,"det(carrot-8, a-6) amod(carrot-8, credible-7) dobj(offer-5, carrot-8) ",NN,,VB,,,offer,offer,,,,,,a,indefinite article,,,,credible,[0.0575],[0.0275],[0.035],[0.09625],[0.0475],[0.07],[0.13],[0.01],[0.03625],[0.12],[0.1275],[0.2175],[0.025],,,,,,,,,,a,unit,singular,linked,ambiguous,A+N,countable,unknown
"If it 's a white man with a red head and blue eyes who looks like a big carrot , he 's going to stick out like a sore thumb out here , "" Mr. Lee said .",carrot,"case(carrot-19, like-16) det(carrot-19, a-17) amod(carrot-19, big-18) nmod:like(looks-15, carrot-19) ",NN,,,,,,,,like looks,like,looks,,a,indefinite article,,,,big,[0.0525],[0.07175],[0.019166666666666665],[0.22333333333333333],[0.07],[0.03],[0.04125],[0.0325],[0.15449999999999997],[0.06],[0.085],[0.0575],[0.1025],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"<p> Rose Marie Nichols McGee , of Nichols Garden Nursery , in Albany , Oregon , concurs and mentions that she is especially unenthusiastic about the idea of a "" new "" white carrot . """,carrot,"amod(carrot-34, white-33) dobj(unenthusiastic-24, carrot-34) ",NN,,VBG,,,unenthusiastic,unenthusiastic,,,,,,,,,,,white,[0.00625],[0.4521875000000001],[0.005],[0.005],[0.02375],[0.0],[0.01],[0.005],[0.018958333333333334],[0.0075],[0.44885416666666644],[0.0],[0.0175],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Wild carrots are white , and any accidental cross with them gives you a white , so they turn up all the time .",carrots,"amod(carrots-2, Wild-1) nsubj(white-4, carrots-2) ",NNS,,VBP,are,be,,,,,,,,,,,,,wild,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
"And anyway , we already carry white carrots . """,carrots,"amod(carrots-8, white-7) dobj(carry-6, carrots-8) ",NNS,,VBP,,,carry,carry,,,,,,,,,,,white,[0.00625],[0.4521875000000001],[0.005],[0.005],[0.02375],[0.0],[0.01],[0.005],[0.018958333333333334],[0.0075],[0.44885416666666644],[0.0],[0.0175],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
"Fourteen chapters covering 14 vegetables : asparagus , bean , cabbage , carrot , corn ( sweet ) , cucumber , lettuce , onion , pea , pepper , squash , sweet potato , tomato , and watermelon .",carrot,"dep(sweet-17, carrot-13) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The problem is n't in finding the posts , but rather in putting them up before all the carrots are eaten , the transplants become potbound , or the nesting season is over .",carrots,"det:predet(carrots-19, all-17) det(carrots-19, the-18) nsubjpass(eaten-21, carrots-19) ",NNS,,VBN,eaten,eat,,,,,,,,"all, the",definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"If lead is not a concern for you , by all means grow carrots and onions .",carrots,"cc(carrots-14, and-15) conj:and(carrots-14, onions-16) dobj(grow-13, carrots-14) ",NNS,,VB,,,grow,grow,,,,,,,,and,onions,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"The regime based its power mainly on the stick , but it knew how to make ample use of the carrot as well .",carrot,"case(carrot-21, of-19) det(carrot-21, the-20) nmod:of(use-18, carrot-21) ",NN,,,,,,,,of use,of,use,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
