sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"According to a second version Shango himself , experimenting with magic powers , accidentally called down lightning that destroyed a part of his palace and killed some of his wives and children .",lightning,"ref(lightning-17, that-18) acl:relcl(lightning-17, destroyed-19) acl:relcl(lightning-17, killed-26) dobj(called-15, lightning-17) nsubj(destroyed-19, lightning-17) nsubj(killed-26, lightning-17) ",NN,,VBD,destroyed,destroy,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"His enemies reviled his name , but after a series of storms destroyed parts of the capital city , his loyal followers declared him a deity whose power over the thunder and lightning was the source of the city 's disasters ( Pemberton 1982:90 ; Johnson 1921:150-55 ) .",lightning,"nmod:over(power-28, lightning-33) conj:and(thunder-31, lightning-33) ",NN,,,,,,,,over power,over,power,,,,and,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Diamonds , triangles , and chevrons suggest the destructive power of lightning and are important design elements in the decoration of the laba Shango , the ritually important leather carrying bag of Shango priests .",lightning,"case(lightning-12, of-11) nmod:of(power-10, lightning-12) ",NN,,,,,,,,of power,of,power,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
It is at the altar that Shango is called forth by his priests to release the lightning which he uses as punishment .,lightning,"det(lightning-17, the-16) ref(lightning-17, which-18) acl:relcl(lightning-17, uses-20) dobj(release-15, lightning-17) dobj(uses-20, lightning-17) ",NN,,VB,,,release,release,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"This is the story of the intellectual rivalry between two theologians , Aureliano and Juan de Pannonia , at the end of which Aureliano is hit by lightning and dies in a way similar to the death of his rival , who had earlier been accused of heresy and burned alive .",lightning,"case(lightning-28, by-27) nmod:by(hit-26, lightning-28) ",NN,,,,,,,,by hit,by,hit,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> 
##4014458 An electric current totaling one kiloamp worldwide flows from thunderstorms in the troposphere into the ionosphere and magnetosphere , eventually returning tothe ground through the fair-weather atmosphere and closing via lightning .",lightning,"case(lightning-34, via-33) nmod:via(closing-32, lightning-34) ",NN,,,,,,,,via closing,via,closing,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
These resonances are excited by electromagnetic emissions from lightning strokes and can be regarded as excitations of an AC global circuit .,lightning,"compound(strokes-10, lightning-9) ",NN,,,,,,,,,,,,,,,,strokes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> When a lightning flash occurs from the bottom of the cloud to the ground , it is completing the global circuit .",lightning,"compound(flash-5, lightning-4) ",NN,,VBZ,occurs,occur,,,,,,,,,,,,flash,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
<p> Thunderstorms deliver negative charge to Earth in several ways : negative cloud-to-ground lightning flashes ; quasi-DC point discharge currents such as St. Elmo 's fire ; conduction current ; and negatively charged precipitation .,lightning,"amod(lightning-14, negative-12) amod(lightning-14, cloud-to-ground-13) dep(lightning-14, flashes-15) dep(charge-5, lightning-14) ",NN,,,,,,,,,,,,,,,,,negative,[0.0575],[0.07833333333333334],[0.0025],[0.11520833333333334],[0.05333333333333334],[0.066],[0.16024999999999998],[0.045],[0.09104166666666666],[0.0975],[0.05],[0.13583333333333333],[0.0475],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The most frequent form of lightning is the intracloud discharge , which connects the cloud 's upper and lower charged regions , temporarily short-circuiting the charging mechanism .",lightning,"case(lightning-6, of-5) nmod:of(form-4, lightning-6) ",NN,,,,,,,,of form,of,form,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The usual negative cloud-to-ground lightning discharge occurs between the lower negative charge and the surface , and is a primary participant in the global circuit .",lightning,"compound(discharge-6, lightning-5) ",NN,,VBZ,occurs,occur,,,,,,,,,,,,discharge,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"<p> In a controversial 1993 paper , Earle Williams and Stan Heckman of MIT constructed a model by adding the global sum of point discharge currents from St. Elmo 's fire and corona produced by electrified rain clouds to the current from lightning activity and produced a curve with a modulation amplitude that is in better agreement with the Carnegie curve.",lightning,"compound(activity-44, lightning-43) ",NN,,,,,,,,,,,,,,,,activity,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"This article follows that train of thought while noting that regulatory reform will increasingly call for more economic analysis in decisions about environmental health policy For deeply felt policies , the difficulties of economic analysis will no doubt be a lightning rod for much heated controversy .",lightning,"compound(rod-42, lightning-41) ",NN,,VB,,,be,be,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The lightning rod for this charge is the Presidential Prayer Breakfast ( an annual ecumenical gathering of over 100 religious leaders ) that on September 11 , 1998 , featured a public display of contrition by the President for his recently revealed misconduct .",lightning,"compound(rod-3, lightning-2) ",NN,,DT,is,be,,,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
And Max Blue 's faith in the benevolence of the landscape fails him when he is struck by lightning .,lightning,"case(lightning-19, by-18) nmod:by(struck-17, lightning-19) ",NN,,,,,,,,by struck,by,struck,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Flash-edited video clips depicting rampaging tornadoes , brilliant lightning strikes , and damaging hail are often used in home-video productions .",lightning,"compound(strikes-10, lightning-9) ",NN,,VBG,,,rampaging,rampage,,,,,,,,,,strikes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Material from another company , Storm Chasing Adventure Tours , whose goal is to "" seek out and witness spectacular explosive supercell thunderstorms , stunning vivid lightning , large hail , massive wall clouds , and violent tornadoes , "" more overtly capitalizes on a sensational representation of storm chasing ( 2000 ) .",lightning,"amod(lightning-27, stunning-25) amod(lightning-27, vivid-26) dobj(witness-19, lightning-27) conj:and(thunderstorms-23, lightning-27) ",NN,,VBG,,,witness,witness,,,,,,,,and,thunderstorms,,"stunning, vivid","[0.105, 0.025]","[0.048125, 0.665]","[0.08449999999999999, 0.015]","[0.12541666666666668, 0.0525]","[0.1075, 0.0275]","[0.03, 0.02]","[0.0725, 0.0425]","[0.014583333333333335, 0.005]","[0.053, 0.0225]","[0.09791666666666668, 0.028333333333333335]","[0.0275, 0.015]","[0.17895833333333336, 0.05166666666666666]","[0.055, 0.03]",,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"The banner on the company 's Internet homepage reads : "" Come see spectacular explosive thunderstorms , fiery lightning and spectacular tornadoes .",lightning,"amod(lightning-19, fiery-18) dobj(see-13, lightning-19) conj:and(thunderstorms-16, lightning-19) ",NN,,VBP,,,see,see,,,,,,,,and,thunderstorms,,fiery,[0.0775],[0.1537083333333333],[0.03729166666666667],[0.055],[0.145],[0.025],[0.0215],[0.07166666666666666],[0.2512083333333333],[0.017499999999999998],[0.0325],[0.06775],[0.044375],,,,,,,,,,,,singular,linked,plural,EX-PL,countable,unknown
"Other than reports of picturesque supercell thunderstorms and impressive lightning events , the most significant events reported in this region included a shredded tire and a blown automobile engine .",lightning,"compound(events-11, lightning-10) ",NN,,,,,,,,,,,,,,,,events,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
He noted that it was a banner year for wildflowers across the Southern Plains and a time for spectacular sunsets and daytime lightning events .,lightning,"compound(events-24, lightning-23) ",NN,,,,,,,,,,,,,,,,events,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"As Chuck Doswell 's accounts , in particular , show , significant reward is also found in observing towering supercell thunderstorms , watching magnificent shows of lightning , and even in traveling through patches of picturesque countryside .",lightning,"case(lightning-27, of-26) nmod:of(shows-25, lightning-27) ",NN,,,,,,,,of shows,of,shows,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
If it is a bird which the soul of the e magic has entered then it will descend to earth like a flash of lightning .,lightning,"case(lightning-25, of-24) nmod:of(flash-23, lightning-25) ",NN,,,,,,,,of flash,of,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"( n18 ) In Trinidad , the Indian deity Kali can merge with Shango , the Yoruba god of thunder , lightning , and associated elements.",lightning,"nmod:with(merge-12, lightning-22) conj:and(Shango-14, lightning-22) ",NN,,,,,,,,with merge,with,merge,,,,and,shango,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Two months later , he recalls , "" like a lightning bolt , I came up with Elmo . """,lightning,"compound(bolt-12, lightning-11) ",NN,,,,,,,,,,,,,,,,bolt,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
You are three times as likely to die prematurely from getting hit by lightning than from exposure to asbestos in buildings .,lightning,"case(lightning-14, by-13) nmod:by(hit-12, lightning-14) ",NN,,,,,,,,by hit,by,hit,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Then it seems like the lightning rod of hell .,lightning,"compound(rod-7, lightning-6) ",NN,,,,,,,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"to compel me to insure him against lightning . """,lightning,"case(lightning-8, against-7) nmod:against(insure-5, lightning-8) ",NN,,,,,,,,against insure,against,insure,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"In the high Andes of Peru , healers diagnose ailments by reading coca leaves , a practice reserved for those who have survived a lightning strike .",lightning,"compound(strike-26, lightning-25) ",NN,,VBN,,,survived,survive,,,,,,,,,,strike,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> 
##2020110 Section : NATIONAL AFFAIRS As outrage grows over the cost of the thrift bailout , the political blame game heats -- up and the president 's son is a lightning rod <p> Neil Bush faced a hard choice last January .",lightning,"compound(<p>-35, lightning-33) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"What is intended to be a lightning raid could turn into a long counterinsurgency struggle against armed guerrillas like Peru 's Sendero Luminoso , who already control the cocagrowing region in the Upper Huallaga Valley .",lightning,"compound(raid-8, lightning-7) ",NN,,VB,,,be,be,,,,,,,,,,raid,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"In general , the video was all lit up with a surrealistic energy : Eyeballs appeared in the strangest places , blue lightning glanced off everything , light bulbs burst and , after the brief sonata that ends the song , an upright piano self-destructed .",lightning,"amod(lightning-23, blue-22) nsubj(glanced-24, lightning-23) ",NN,,VBD,glanced,glance,,,,,,,,,,,,,blue,[0.013333333333333332],[0.6939166666666668],[0.00375],[0.06166666666666667],[0.10999999999999999],[0.0],[0.012916666666666665],[0.0075],[0.059416666666666666],[0.0075],[0.0125],[0.0],[0.0175],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"<p> Rollins himself is very much a product of the Harlem Renaissance , that lightning crack of hope between the northern migration and the beginnings of despair .",lightning,"compound(crack-16, lightning-15) ",NN,,,,,,,,,,,,,,,,crack,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> The action drama The Flash is the kind of show that most kids go for : A guy in a lab with a bunch of chemicals gets hit by lightning and gets the power to put on a red body stocking and run at hundreds of miles per hour and throw exploding green globes at people .,lightning,"case(lightning-31, by-30) nmod:by(hit-29, lightning-31) ",NN,,,,,,,,by hit,by,hit,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"It was generally supposed to be immoral to assert a scientific cause for such phenomena as earthquakes , shooting stars , thunder , and lightning .",lightning,"nmod:as(assert-9, lightning-25) conj:and(earthquakes-17, lightning-25) ",NN,,,,,,,,as assert,as,assert,,,,and,earthquakes,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Thus Franklin 's proof of electricity 's causing lightning became very significant .,lightning,"case(lightning-9, of-5) nmod:poss(lightning-9, electricity-6) amod(lightning-9, causing-8) nmod:of(proof-4, lightning-9) ",NN,,,,,,,,of proof,of,proof,,,,,,,causing,[0.095],[0.06754166666666667],[0.02],[0.10958333333333332],[0.10083333333333332],[0.03979166666666666],[0.164375],[0.01],[0.08454166666666665],[0.043125],[0.0275],[0.18270833333333333],[0.055],,electricity,,,,,,,,,,singular,linked,,,unknown,unknown
"For a week and a half in August , however , Yosemite Valley lay unnaturally empty Severe forest fires , ignited by lightning , had forced officials to close the park fur the first time in history .",lightning,"case(lightning-23, by-22) nmod:by(ignited-21, lightning-23) ",NN,,,,,,,,by ignited,by,ignited,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Before sheep tromped through the Sierra , low-intensity fires swept across much of the middle-elevation forest every decade or two , cleaning out dead wood These frequent burns , usually sparked by lightning or Native Americans , kept the forest open and airy But the sheep grazed away forest grasses and packed down pine needles on the ground .",lightning,"cc(lightning-34, or-35) conj:or(lightning-34, Native-36) compound(Americans-37, lightning-34) ",NN,,,,,,,,,,,,,,or,native,americans,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Managers can thus allow lightning fires to burn under careful supervision there if the fires meet a long list of criteria designed to protect people and property .,lightning,"compound(fires-6, lightning-5) ",NN,,VB,burn,burn,,,,,,,,,,,,fires,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> Concentrating on small patches at a time , workers light fires to burn the dead wood and needles , and to kill understory trees -- young and middle-aged trees that do n't reach the canopy Over the years , by igniting one or perhaps two prescribed fires in each targeted area , they hope to reduce the forest fuels to a safe level so that future lightning fires can be allowed to take their natural course in these middle-elevation regions , which make up about 10 percent of the Sierra parks .",lightning,"compound(fires-69, lightning-68) ",NN,,VB,take,take,,,,,,,,,,,,fires,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
several factors would still force fire crews to suppress lightning fires in much of the middle-elevation forest .,lightning,"compound(fires-11, lightning-10) ",NN,,VB,,,suppress,suppress,,,,,,,,,,fires,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"In prehistoric times , lightning fires started in lower-elevation scrubland far outside the parks and then spread up into the forests .",lightning,"compound(fires-6, lightning-5) ",NN,,VBD,started,start,,,,,,,,,,,,fires,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Tile Sierra parks spend about $30,000 annually on prescribed burning , whereas the federal government poured more than $13 rail lion into fighting this summer 's lightning fires at Yosemite .",lightning,"compound(fires-30, lightning-29) ",NN,,VBG,,,fighting,fight,,,,,,,,,,fires,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
But Falk 's scenario of brain expansion serves as a lightning rod for future investigations .,lightning,"compound(rod-12, lightning-11) ",NN,,,,,,,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
After it rocks a bit to enhance its stereoscopic vision and confirm the range-a fraction of an inch off will cause a miss-its lightning tongue shoots out .,lightning,"compound(tongue-25, lightning-24) ",NN,,VB,,,cause,cause,,,,,,,,,,tongue,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> In addition to corrupting the university 's basic academic mission , big-time sports have been a lightning rod for financial corruption .",lightning,"compound(rod-19, lightning-18) ",NN,,VBN,,,been,be,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> "" It was like lightning hit us , "" she said . """,lightning,"nsubj(lightning-6, It-3) cop(lightning-6, was-4) case(lightning-6, like-5) acl:relcl(<p>-1, lightning-6) ",NN,,VBD,,,was,be,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Consequently , the fires of 1988 proceeded not simply according to a natural pattern of dry weather followed by lightning but according to a human pattern that had stamped out earlier fires ; thus leaving the litter of the wilderness unincinerated and preventing the formation of natural fire gaps in the forest .",lightning,"case(lightning-20, by-19) nmod:by(followed-18, lightning-20) ",NN,,,,,,,,by followed,by,followed,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"From a distance , the bulge in the whirlwind may look like ball lightning , and its noise may sound similar to humming , buzzing , or even a siren 's wail .",lightning,"case(lightning-14, like-12) compound(lightning-14, ball-13) nmod:like(look-11, lightning-14) ",NN,,,,,,,,like look,like,look,,,,,,ball,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> His bare black chest may be streaked with lightning flashes in yellow paint and his face may be tattooed with scars and the dilapidated trousers from a tuxedo may flap about his legs , but his pronunciation is impeccably British .",lightning,"compound(flashes-11, lightning-10) ",NN,,,,,,,,,,,,,,,,flashes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"I let my head fall against the yellow zigzags of lightning on his chest , and I whisper , "" I 'm scared . """,lightning,"case(lightning-11, of-10) nmod:of(zigzags-9, lightning-11) ",NN,,,,,,,,of zigzags,of,zigzags,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"I flew to Iquitos , Peru , and spent several weeks on the Ucayali River , traveling by riverboat to isolated fishing villages where the locals regaled me with stories of pink river dolphins that transformed themselves into beautiful women at night ; of electric eels that created lightning storms as they danced upon the waters ; of black crocodiles so large they could swallow whole canoes ; of anacondas that grew so long they lost the ability to move , relying on magical magnetic powers to attract food .",lightning,"compound(storms-50, lightning-49) ",NN,,VBD,,,created,create,,,,,,,,,,storms,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The ceiling was 2,000 to 3,000 feet , a light rain was falling from a stratus cloud deck , the sky showed signs of clearing to the west , the thermometer read 60 Fahrenheit , and distant lightning was flashing to the south and southwest .",lightning,"amod(lightning-38, distant-37) nsubj(flashing-40, lightning-38) ",NN,,,,,,,,,,,,,,,,,distant,[0.06958333333333333],[0.10958333333333334],[0.019166666666666665],[0.07500000000000001],[0.17125],[0.03208333333333333],[0.063125],[0.04125],[0.19895833333333332],[0.0375],[0.065],[0.0575],[0.06],,,,,,,,,,,,singular,linked,,,unknown,unknown
"However , no distinctive clouds or precipitation accompanied these changes , and there was no thunder or lightning observed .",lightning,"nsubj(was-14, lightning-18) conj:or(thunder-16, lightning-18) ",NN,,VBD,was,be,,,,,,,,,,or,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"For example , it was planted as a hedge to guard the family grounds against lightning and other natural disasters .",lightning,"cc(lightning-16, and-17) conj:and(lightning-16, other-18) compound(disasters-20, lightning-16) ",NN,,,,,,,,,,,,,,and,other,disasters,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"I eagerly enquired of my father the nature and origin of thunder and lightning . """,lightning,"nmod:of(nature-8, lightning-14) conj:and(thunder-12, lightning-14) ",NN,,,,,,,,of nature,of,nature,,,,and,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The method is not given but is always depicted in films as involving lightning , perhaps a reasonable deduction from the rain that night and Frankenstein 's boyhood weather interests .",lightning,"advmod(lightning-14, perhaps-16) dep(lightning-14, deduction-19) dobj(involving-13, lightning-14) ",NN,,VBG,,,involving,involve,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,perhaps,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Spending the night near the lake , he sees <p> lightnings playing on the summit of Mont Blanc in the most beautiful figures .",lightnings,"compound(lightnings-11, <p>-10) acl(lightnings-11, playing-12) dobj(sees-9, lightnings-11) ",NNS,,VBZ,,,sees,see,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,singular,,unknown,unknown
"<p> Blitz and Donner ( of reindeer fame ) are German for lightning and thunder , and also surnames in the United States , while the name of St. Fulgentius is derived from the Latin fulgere , "" to shine , to flash like lightning . """,lightning,"case(lightning-13, for-12) cc(lightning-13, and-14) conj:and(lightning-13, thunder-15) nmod:for(German-11, lightning-13) ",NN,,,,,,,,for German,for,german,,,,and,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Blitz and Donner ( of reindeer fame ) are German for lightning and thunder , and also surnames in the United States , while the name of St. Fulgentius is derived from the Latin fulgere , "" to shine , to flash like lightning . """,lightning,"case(lightning-45, like-44) nmod:like(flash-43, lightning-45) ",NN,,,,,,,,like flash,like,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The same as Frankenstein's-a lightning bolt .,lightning,"compound(bolt-9, lightning-8) ",NN,,,,,,,,,,,,,,,,bolt,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> But , he points out , each year Florida leads the nation in lightning caused deaths ( with an average of 10 ) and "" one of every three summertime thunderstorms is severe -- that is it produces winds in excess of 58 m.p.h.",lightning,"case(lightning-15, in-14) nmod:in(nation-13, lightning-15) ",NN,,,,,,,,in nation,in,nation,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"A plume of volcanic ash rose 40,000 ft. high , and lightning caused brilliant yellow and red flashes that illuminated the volcano against the night sky and revealed the area 's coastline .",lightning,"nsubj(caused-13, lightning-12) ",NN,,VBD,caused,cause,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The Infiniti ads , applauded for their Zen approach , depict lushly photographed trees , boulders , lightning bolts and breaking waves .",lightning,"compound(bolts-19, lightning-18) ",NN,,VBP,,,depict,depict,,,,,,,,,,bolts,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
